uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
22dcpa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.22dcpa,collectie:parameter,22DCPA,"2,2-Dichloorpropaan",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
245t,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.245t,collectie:parameter,245t,"2,4,5-T",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
24db,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.24db,collectie:parameter,24db,"2,4-DB",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
24d,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.24d,collectie:parameter,24d,"2,4-D",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
2_hydroxy_atrazine,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.2_hydroxy_atrazine,collectie:parameter,2_hydroxy_atrazine,2-hydroxy-atrazine,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
3_ethyltolueen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.3_ethyltolueen,collectie:parameter,3_ethyltolueen,3-ethyltolueen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
4_2_fts,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.4_2_fts,collectie:parameter,4_2_FTS,4:2 fluortelomeersulfonzuur (4:2 FTS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
4cpa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.4cpa,collectie:parameter,4CPA,4CPA,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
4_ethyltolueen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.4_ethyltolueen,collectie:parameter,4_ethyltolueen,4-ethyltolueen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
4h_pfunda,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.4h_pfunda,collectie:parameter,4H_PFUnDA,"2H,2H,3H,3H-perfluorundecaanzuur (4H-PFUnDA)",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
5clb,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.5clb,collectie:parameter,5ClB,5ClB,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
5clfenol,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.5clfenol,collectie:parameter,5ClFenol,Pentachloorfenol,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
5_methyl_1h_benzotriazole,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.5_methyl_1h_benzotriazole,collectie:parameter,5_methyl_1H_benzotriazole,5-methyl-1H-benzotriazole,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
6_2_8_2_dipap,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.6_2_8_2_dipap,collectie:parameter,6_2_8_2_diPAP,6:2/8:2 fluortelomeerfosfaat diester (6:2/8:2 diPAP),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
6_2_dipap,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.6_2_dipap,collectie:parameter,6_2_diPAP,6:2 fluortelomeerfosfaat diester (6:2 diPAP),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
6_2_fts,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.6_2_fts,collectie:parameter,6_2_FTS,6:2 fluortelomeersulfonzuur (6:2 FTS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
6_2_pap,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.6_2_pap,collectie:parameter,6_2_PAP,6:2 fluortelomeerfosfaat monoester (6:2 PAP),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
8_2_dipap,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.8_2_dipap,collectie:parameter,8_2_diPAP,8:2 fluortelomeerfosfaat diester (8:2 diPAP),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
8_2_fts,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.8_2_fts,collectie:parameter,8_2_FTS,8:2 fluortelomeersulfonzuur (8:2 FTS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
8_2_ftuca,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.8_2_ftuca,collectie:parameter,8_2_FTUCA,8:2 fluortelomeer onverzadigd carboxylzuur (8:2 FTUCA),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
8_2_pap,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.8_2_pap,collectie:parameter,8_2_PAP,8:2 fluortelomeerfosfaat monoester (8:2 PAP),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
9cl_pf3ons,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.9cl_pf3ons,collectie:parameter,9Cl_PF3ONS,9-Chloorhexadecafluor-3-oxanonaansulfonzuur (9Cl-PF3ONS),,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
acenafteen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.acenafteen,collectie:parameter,acenafteen,acenafteen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
acenaftyleen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.acenaftyleen,collectie:parameter,acenaftyleen,acenaftyleen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
acetamiprid,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.acetamiprid,collectie:parameter,Acetamiprid,Acetamiprid,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
acetochlor_esa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.acetochlor_esa,collectie:parameter,acetochlor_ESA,acetochlor-ESA,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
acetochlor_oa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.acetochlor_oa,collectie:parameter,acetochlor_OA,acetochlor-OA,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
aclonifen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.aclonifen,collectie:parameter,aclonifen,aclonifen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
acrylam,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.acrylam,collectie:parameter,Acrylam,Acrylamide,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
advanced_triaxiaal_testing,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.advanced_triaxiaal_testing,collectie:parameter,Advanced_Triaxiaal_testing,Advanced Triaxiaal testing,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
aeromon,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.aeromon,collectie:parameter,Aeromon,Aeromonas,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
ag,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ag,collectie:parameter,Ag,Zilver,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
ahch,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ahch,collectie:parameter,ahch,alfa-HCH,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
